onset	duration	trial_type	relevant_rank	irrelevant_rank	A
17.9806136	2	F2	1.0	1.0	26.5650511770780
37.7284209	2	F2	4.0	4.0	71.5650511770780
60.8180387	2	F2	3.0	2.0	-45
75.8996417	2	F2	4.0	2.0	-56.3099324740202
90.6145664	2	F2	3.0	3.0	26.5650511770780
105.4634361	2	F2	4.0	1.0	-33.6900675259798
121.8577749	2	F2	2.0	4.0	71.5650511770780
146.0559	2	F2	4.0	2.0	-45
171.0378071	2	F2	2.0	1.0	45
192.4363307	2	F2	1.0	3.0	-45
208.3187873	2	F2	3.0	2.0	45
230.6706325	2	F2	3.0	3.0	63.4349488229220
247.0870186	2	F2	2.0	3.0	-45
262.6356465	2	F2	4.0	1.0	-45
279.5191445	2	F2	1.0	2.0	56.3099324740202
298.0134295	2	F2	2.0	2.0	26.5650511770780
313.4031088	2	F2	2.0	3.0	-26.5650511770780
332.7557836	2	F2	1.0	3.0	-45
351.9099996	2	F2	3.0	3.0	-26.5650511770780
367.4756903	2	F2	2.0	2.0	63.4349488229220