onset	duration	trial_type	diag_choose	diag_diff
26.1667311	2	choose	4.949747468	3.535533906
55.7462847	2	choose	4.949747468	3.535533906
136.8935293	2	choose	4.242640687	2.828427125
178.5517838	2	choose	3.535533906	1.414213562
194.8681428	2	choose	5.656854249	3.535533906
225.5991419	2	choose	3.535533906	2.121320344
241.9984147	2	choose	4.242640687	2.828427125
260.3668613	2	choose	4.949747468	2.828427125
299.0945175	2	choose	4.949747468	2.828427125
336.7592537	2	choose	4.242640687	2.121320344
354.5938275	2	choose	4.949747468	2.121320344
17.5087722	2	choose	5.656854249	2.828427125
47.1097492	2	choose	4.949747468	2.828427125
87.2443584	2	choose	5.656854249	2.121320344
105.1620868	2	choose	4.242640687	1.414213562
124.3144774	2	choose	4.949747468	2.121320344
169.5596704	2	choose	4.949747468	1.414213562
217.0160449	2	choose	5.656854249	2.828427125
288.9115493	2	choose	4.242640687	2.121320344
326.6328	2	choose	4.949747468	2.121320344