onset	duration	trial_type	E
17.5087722	2	F2	2.236067977
32.2939214	2	F2	2.236067977
47.1097492	2	F2	3.16227766
61.8524331	2	F2	2.236067977
87.2443584	2	F2	2.236067977
105.1620868	2	F2	1.414213562
124.3144774	2	F2	2.236067977
146.9367814	2	F2	3.605551275
169.5596704	2	F2	3.605551275
185.0182554	2	F2	2.236067977
202.1920279	2	F2	3.16227766
217.0160449	2	F2	3.605551275
231.6545427	2	F2	2.236067977
249.8141296	2	F2	1.414213562
268.3799773	2	F2	1.414213562
288.9115493	2	F2	3.16227766
306.7442335	2	F2	2.236067977
326.6328	2	F2	2.236067977
344.350455	2	F2	3.605551275
362.3015681	2	F2	1.414213562