,run,id,block,ACC
1,1,1,1,0.1875
2,1,1,2,0.28125
3,1,1,3,0.3125
4,1,1,4,0.25
5,1,1,5,0.25
6,1,1,6,0.375
7,1,1,7,0.4375
8,1,1,8,0.40625
9,1,1,9,0.40625
10,1,1,10,0.34375
11,1,1,11,0.375
12,1,1,12,0.5
13,1,1,13,0.53125
14,1,1,14,0.53125
15,1,1,15,0.46875
16,1,1,16,0.5625
17,1,1,17,0.4375
18,1,1,18,0.375
19,1,1,19,0.4375
20,1,1,20,0.5
21,1,1,21,0.625
22,1,1,22,0.5
23,1,1,23,0.5
24,1,1,24,0.53125
25,1,1,25,0.5625
26,1,1,26,0.625
27,1,1,27,0.6875
28,1,1,28,0.71875
29,1,1,29,0.75
30,1,1,30,0.78125
31,1,1,31,0.78125
32,1,1,32,0.78125
33,1,1,33,0.71875
34,1,1,34,0.8125
35,1,1,35,0.8125
36,1,1,36,0.71875
37,1,1,37,0.875
52,1,2,1,0.28125
53,1,2,2,0.34375
54,1,2,3,0.3125
55,1,2,4,0.40625
56,1,2,5,0.375
57,1,2,6,0.46875
58,1,2,7,0.5625
59,1,2,8,0.625
60,1,2,9,0.71875
61,1,2,10,0.75
62,1,2,11,0.9375
63,1,3,1,0.34375
64,1,3,2,0.28125
65,1,3,3,0.34375
66,1,3,4,0.375
67,1,3,5,0.3125
68,1,3,6,0.25
69,1,3,7,0.34375
70,1,3,8,0.4375
71,1,3,9,0.4375
72,1,3,10,0.5625
73,1,3,11,0.46875
74,1,3,12,0.46875
75,1,3,13,0.65625
76,1,3,14,0.65625
77,1,3,15,0.6875
78,1,3,16,0.78125
79,1,3,17,0.78125
80,1,3,18,0.6875
81,1,3,19,0.75
82,1,3,20,0.84375
83,1,3,21,0.8125
84,1,3,22,0.84375
85,1,3,23,0.84375
86,1,3,24,0.84375
87,1,3,25,0.8125
88,1,3,26,0.875
89,1,3,27,0.84375
90,1,3,28,0.875
91,1,3,29,0.90625
92,1,3,30,0.90625
93,1,3,31,0.90625
94,1,3,32,0.875
95,1,3,33,0.9375
96,1,3,34,0.96875
97,1,3,35,0.96875
98,1,3,36,1
99,1,3,37,1
101,1,4,1,0.28125
102,1,4,2,0.21875
103,1,4,3,0.28125
104,1,4,4,0.28125
105,1,4,5,0.40625
106,1,4,6,0.3125
107,1,4,7,0.34375
108,1,4,8,0.375
109,1,4,9,0.375
110,1,4,10,0.53125
111,1,4,11,0.53125
112,1,4,12,0.375
113,1,4,13,0.4375
114,1,4,14,0.53125
115,1,4,15,0.65625
116,1,4,16,0.65625
117,1,4,17,0.65625
118,1,4,18,0.75
119,1,4,19,0.71875
120,1,4,20,0.75
121,1,4,21,0.71875
122,1,4,22,0.78125
123,1,4,23,0.90625
124,1,4,24,0.875
125,1,4,25,0.875
126,1,4,26,0.875
127,1,4,27,0.90625
128,1,4,28,0.9375
129,1,4,29,0.96875
130,1,4,30,0.96875
131,1,4,31,1
132,1,4,32,0.96875
133,1,4,33,1
134,1,4,34,1
135,1,4,35,1
136,1,4,36,1
137,1,4,37,1
139,1,6,1,0.3125
140,1,6,2,0.28125
141,1,6,3,0.25
142,1,6,4,0.28125
143,1,6,5,0.34375
144,1,6,6,0.3125
145,1,6,7,0.375
146,1,6,8,0.5625
147,1,6,9,0.625
148,1,6,10,0.625
149,1,6,11,0.625
150,1,6,12,0.65625
151,1,6,13,0.59375
152,1,6,14,0.65625
153,1,6,15,0.71875
154,1,6,16,0.71875
155,1,6,17,0.71875
156,1,6,18,0.71875
157,1,6,19,0.75
158,1,6,20,0.78125
159,1,6,21,0.78125
160,1,6,22,0.71875
161,1,6,23,0.78125
162,1,6,24,0.8125
163,1,6,25,0.78125
164,1,6,26,0.78125
165,1,6,27,0.78125
166,1,6,28,0.78125
167,1,6,29,0.90625
168,1,6,30,0.90625
169,1,6,31,0.90625
170,1,6,32,0.875
171,1,6,33,0.875
172,1,6,34,0.90625
173,1,6,35,0.9375
174,1,6,36,0.9375
175,1,6,37,1
176,1,7,1,0.25
177,1,7,2,0.375
178,1,7,3,0.21875
179,1,7,4,0.25
180,1,7,5,0.375
181,1,7,6,0.375
182,1,7,7,0.34375
183,1,7,8,0.5
184,1,7,9,0.5
185,1,7,10,0.4375
186,1,7,11,0.53125
187,1,7,12,0.53125
188,1,7,13,0.5625
189,1,7,14,0.65625
190,1,7,15,0.65625
191,1,7,16,0.75
192,1,7,17,0.75
193,1,7,18,0.78125
194,1,7,19,0.78125
195,1,7,20,0.78125
196,1,7,21,0.78125
197,1,7,22,0.90625
198,1,7,23,0.9375
199,1,7,24,0.9375
200,1,7,25,0.9375
201,1,7,26,0.96875
202,1,7,27,0.96875
203,1,7,28,1
204,1,7,29,1
205,1,7,30,1
206,1,9,1,0.34375
207,1,9,2,0.28125
208,1,9,3,0.40625
209,1,9,4,0.3125
210,1,9,5,0.21875
211,1,9,6,0.34375
212,1,9,7,0.28125
213,1,9,8,0.25
214,1,9,9,0.3125
215,1,9,10,0.25
216,1,9,11,0.34375
217,1,9,12,0.5
218,1,9,13,0.46875
219,1,9,14,0.40625
220,1,9,15,0.3125
221,1,9,16,0.46875
222,1,9,17,0.5
223,1,9,18,0.53125
224,1,9,19,0.5
225,1,9,20,0.59375
226,1,9,21,0.75
227,1,9,22,0.71875
228,1,9,23,0.75
229,1,9,24,0.84375
230,1,9,25,0.875
231,1,9,26,0.90625
232,1,9,27,0.90625
233,1,9,28,0.96875
234,1,9,29,1
235,1,9,30,1
236,1,9,31,0.96875
237,1,9,32,1
238,1,9,33,1
239,1,9,34,1
240,1,9,35,1
241,1,10,1,0.21875
242,1,10,2,0.25
243,1,10,3,0.3125
244,1,10,4,0.34375
245,1,10,5,0.46875
246,1,10,6,0.53125
247,1,10,7,0.5625
248,1,10,8,0.59375
249,1,10,9,0.6875
250,1,10,10,0.6875
251,1,10,11,0.59375
252,1,10,12,0.75
253,1,10,13,0.6875
254,1,10,14,0.78125
255,1,10,15,0.8125
256,1,10,16,0.875
257,1,10,17,0.90625
258,1,10,18,0.90625
259,1,10,19,0.9375
260,1,10,20,0.9375
261,1,10,21,1
262,1,10,22,1
263,1,10,23,1
264,1,10,24,1
265,1,10,25,1
266,1,11,1,0.125
267,1,11,2,0.3125
268,1,11,3,0.5
269,1,11,4,0.5
270,1,11,5,0.5
271,1,11,6,0.65625
272,1,11,7,0.65625
273,1,11,8,0.84375
274,1,11,9,0.9375
275,1,11,10,1
276,1,15,1,0.125
277,1,15,2,0.53125
278,1,15,3,0.59375
279,1,15,4,0.6875
280,1,15,5,0.78125
281,1,15,6,0.90625
282,1,15,7,0.9375
283,1,15,8,0.96875
284,1,15,9,0.9375
285,1,15,10,1
286,1,15,11,1
287,1,15,12,1
288,1,17,1,0.40625
289,1,17,2,0.4375
290,1,17,3,0.5
291,1,17,4,0.46875
292,1,17,5,0.625
293,1,17,6,0.625
294,1,17,7,0.625
295,1,17,8,0.625
296,1,17,9,0.5625
297,1,17,10,0.71875
298,1,17,11,0.65625
299,1,17,12,0.8125
300,1,17,13,0.78125
301,1,17,14,0.8125
302,1,17,15,0.90625
303,1,17,16,0.96875
304,1,18,1,0.3125
305,1,18,2,0.3125
306,1,18,3,0.25
307,1,18,4,0.34375
308,1,18,5,0.46875
309,1,18,6,0.59375
310,1,18,7,0.75
311,1,18,8,0.71875
312,1,18,9,0.84375
313,1,18,10,0.84375
314,1,18,11,1
315,1,19,1,0.3125
316,1,19,2,0.375
317,1,19,3,0.34375
318,1,19,4,0.59375
319,1,19,5,0.5625
320,1,19,6,0.53125
321,1,19,7,0.5
322,1,19,8,0.59375
323,1,19,9,0.71875
324,1,19,10,0.875
325,1,19,11,0.78125
326,1,19,12,0.84375
327,1,19,13,0.875
328,1,19,14,0.9375
329,1,19,15,1
330,1,19,16,1
331,1,21,1,0.125
332,1,21,2,0.28125
333,1,21,3,0.40625
334,1,21,4,0.46875
335,1,21,5,0.5
336,1,21,6,0.53125
337,1,21,7,0.5
338,1,21,8,0.59375
339,1,21,9,0.5625
340,1,21,10,0.625
341,1,21,11,0.78125
342,1,21,12,0.78125
343,1,21,13,0.90625
344,1,21,14,0.9375
345,1,21,15,0.96875
346,1,21,16,0.96875
347,1,21,17,0.9375
348,1,21,18,1
349,1,22,1,0.15625
350,1,22,2,0.15625
351,1,22,3,0.5
352,1,22,4,0.34375
353,1,22,5,0.59375
354,1,22,6,0.59375
355,1,22,7,0.625
356,1,22,8,0.625
357,1,22,9,0.59375
358,1,22,10,0.65625
359,1,22,11,0.6875
360,1,22,12,0.78125
361,1,22,13,0.84375
362,1,22,14,0.875
363,1,22,15,0.9375
364,1,23,1,0.28125
365,1,23,2,0.40625
366,1,23,3,0.34375
367,1,23,4,0.5
368,1,23,5,0.625
369,1,23,6,0.59375
370,1,23,7,0.5625
371,1,23,8,0.625
372,1,23,9,0.75
373,1,23,10,0.71875
374,1,23,11,0.8125
375,1,23,12,0.875
376,1,23,13,0.875
377,1,23,14,0.875
378,1,23,15,0.9375
379,1,23,16,0.90625
380,1,23,17,1
381,1,24,1,0.125
382,1,24,2,0.34375
383,1,24,3,0.4375
384,1,24,4,0.4375
385,1,24,5,0.34375
386,1,24,6,0.46875
387,1,24,7,0.5
388,1,24,8,0.59375
389,1,24,9,0.5625
390,1,24,10,0.75
391,1,24,11,0.78125
392,1,24,12,0.8125
393,1,24,13,0.8125
394,1,24,14,0.875
395,1,24,15,0.9375
396,1,24,16,0.96875
397,1,24,17,1
398,1,24,18,1
399,1,25,1,0.21875
400,1,25,2,0.15625
401,1,25,3,0.34375
402,1,25,4,0.21875
403,1,25,5,0.4375
404,1,25,6,0.40625
405,1,25,7,0.34375
406,1,25,8,0.53125
407,1,25,9,0.5625
408,1,25,10,0.40625
409,1,25,11,0.53125
410,1,25,12,0.46875
411,1,25,13,0.59375
412,1,25,14,0.65625
413,1,25,15,0.6875
414,1,25,16,0.8125
415,1,25,17,0.875
416,1,25,18,0.90625
417,1,25,19,0.9375
418,1,25,20,0.96875
419,1,26,1,0.125
420,1,26,2,0.375
421,1,26,3,0.4375
422,1,26,4,0.3125
423,1,26,5,0.4375
424,1,26,6,0.375
425,1,26,7,0.5625
426,1,26,8,0.625
427,1,26,9,0.59375
428,1,26,10,0.59375
429,1,26,11,0.6875
430,1,26,12,0.75
431,1,26,13,0.6875
432,1,26,14,0.8125
433,1,26,15,0.8125
434,1,26,16,0.8125
435,1,26,17,0.90625
436,1,26,18,0.9375
437,1,26,19,0.875
438,1,26,20,0.90625
439,1,26,21,0.9375
440,1,26,22,0.90625
441,1,26,23,0.90625
442,1,26,24,0.96875
443,1,26,25,1
444,1,26,26,1
445,1,26,27,1
446,1,26,28,1
447,1,27,1,0.21875
448,1,27,2,0.25
449,1,27,3,0.3125
450,1,27,4,0.375
451,1,27,5,0.40625
452,1,27,6,0.46875
453,1,27,7,0.40625
454,1,27,8,0.625
455,1,27,9,0.59375
456,1,27,10,0.4375
457,1,27,11,0.65625
458,1,27,12,0.65625
459,1,27,13,0.71875
460,1,27,14,0.8125
461,1,27,15,0.71875
462,1,27,16,0.8125
463,1,27,17,0.9375
464,1,27,18,0.90625
465,1,27,19,0.96875
466,1,27,20,0.96875
467,1,27,21,1
468,1,27,22,1
469,1,27,23,1
470,1,28,1,0.1875
471,1,28,2,0.25
472,1,28,3,0.3125
473,1,28,4,0.375
474,1,28,5,0.5
475,1,28,6,0.28125
476,1,28,7,0.34375
477,1,28,8,0.34375
478,1,28,9,0.34375
479,1,28,10,0.5625
480,1,28,11,0.53125
481,1,28,12,0.53125
482,1,28,13,0.625
483,1,28,14,0.5625
484,1,28,15,0.75
485,1,28,16,0.75
486,1,28,17,0.84375
487,1,28,18,0.84375
488,1,28,19,0.90625
489,1,28,20,0.90625
490,1,28,21,0.9375
491,1,28,22,0.9375
492,1,28,23,1
493,1,28,24,1
494,1,29,1,0.28125
495,1,29,2,0.375
496,1,29,3,0.5
497,1,29,4,0.34375
498,1,29,5,0.5625
499,1,29,6,0.65625
500,1,29,7,0.6875
501,1,29,8,0.78125
502,1,29,9,0.84375
503,1,29,10,0.90625
504,1,29,11,0.9375
505,1,29,12,0.9375
506,1,29,13,1
507,1,29,14,1
508,1,29,15,1
509,1,30,1,0.5625
510,1,30,2,0.59375
511,1,30,3,0.59375
512,1,30,4,0.59375
513,1,30,5,0.84375
514,1,30,6,0.71875
515,1,30,7,0.71875
516,1,30,8,0.8125
517,1,30,9,0.78125
518,1,30,10,0.75
519,1,30,11,0.78125
520,1,30,12,0.90625
521,1,30,13,0.9375
522,1,30,14,0.96875
523,1,30,15,1
524,1,30,16,1
525,1,30,17,1
526,1,31,1,0.25
527,1,31,2,0.375
528,1,31,3,0.28125
529,1,31,4,0.28125
530,1,31,5,0.375
531,1,31,6,0.3125
532,1,31,7,0.5
533,1,31,8,0.75
534,1,31,9,0.875
535,1,31,10,0.875
536,1,31,11,0.9375
537,1,31,12,0.96875
538,2,1,1,0.65625
539,2,1,2,0.6875
540,2,1,3,0.5625
541,2,1,4,0.625
542,2,1,5,0.65625
543,2,1,6,0.78125
544,2,1,7,0.65625
545,2,1,8,0.71875
546,2,1,9,0.71875
547,2,1,10,0.78125
548,2,1,11,0.75
549,2,1,12,0.78125
550,2,1,13,0.78125
551,2,1,14,0.875
552,2,1,15,0.9375
553,2,1,16,0.9375
554,2,1,17,0.9375
555,2,1,18,0.9375
556,2,1,19,0.9375
557,2,1,20,0.96875
558,2,1,21,1
559,2,1,22,1
560,2,1,23,1
561,2,1,24,1
562,2,2,1,0.78125
563,2,2,2,0.75
564,2,2,3,0.78125
565,2,2,4,0.84375
566,2,2,5,0.78125
567,2,2,6,0.875
568,2,2,7,0.9375
569,2,2,8,0.90625
570,2,2,9,0.96875
571,2,2,10,1
572,2,2,11,1
573,2,2,12,1
574,2,2,13,1
575,2,2,14,1
576,2,2,15,1
577,2,3,1,0.65625
578,2,3,2,0.5
579,2,3,3,0.5625
580,2,3,4,0.59375
581,2,3,5,0.6875
582,2,3,6,0.8125
583,2,3,7,0.875
584,2,3,8,0.71875
585,2,3,9,0.75
586,2,3,10,0.6875
587,2,3,11,0.6875
588,2,3,12,0.8125
589,2,3,13,0.8125
590,2,3,14,0.84375
591,2,3,15,0.84375
592,2,3,16,0.84375
593,2,3,17,0.875
594,2,3,18,0.875
595,2,3,19,0.875
596,2,3,20,0.9375
597,2,3,21,0.96875
598,2,3,22,0.9375
599,2,3,23,0.96875
600,2,3,24,1
601,2,3,25,1
602,2,3,26,0.96875
603,2,3,27,1
604,2,4,1,0.78125
605,2,4,2,0.8125
606,2,4,3,0.75
607,2,4,4,0.75
608,2,4,5,0.875
609,2,4,6,0.78125
610,2,4,7,0.875
611,2,4,8,0.84375
612,2,4,9,0.84375
613,2,4,10,0.875
614,2,4,11,0.90625
615,2,4,12,0.90625
616,2,4,13,0.9375
617,2,4,14,0.9375
618,2,4,15,0.96875
619,2,4,16,1
620,2,4,17,1
621,2,6,1,0.65625
622,2,6,2,0.8125
623,2,6,3,0.78125
624,2,6,4,0.71875
625,2,6,5,0.75
626,2,6,6,0.78125
627,2,6,7,0.84375
628,2,6,8,1
629,2,7,1,0.6875
630,2,7,2,0.8125
631,2,7,3,0.71875
632,2,7,4,0.84375
633,2,7,5,0.90625
634,2,7,6,0.875
635,2,7,7,0.875
636,2,7,8,0.90625
637,2,7,9,0.9375
638,2,7,10,0.9375
639,2,7,11,0.9375
640,2,7,12,0.96875
641,2,9,1,0.875
642,2,9,2,0.90625
643,2,9,3,0.875
644,2,9,4,0.875
645,2,9,5,0.96875
646,2,9,6,0.96875
647,2,9,7,1
648,2,9,8,1
649,2,10,1,0.65625
650,2,10,2,0.8125
651,2,10,3,0.75
652,2,10,4,0.78125
653,2,10,5,0.84375
654,2,10,6,0.9375
655,2,10,7,0.90625
656,2,10,8,0.9375
657,2,10,9,0.96875
658,2,10,10,0.96875
659,2,10,11,1
660,2,11,1,0.8125
661,2,11,2,0.78125
662,2,11,3,0.84375
663,2,11,4,0.875
664,2,11,5,1
665,2,17,1,0.78125
666,2,17,2,0.78125
667,2,17,3,0.8125
668,2,17,4,0.875
669,2,17,5,0.96875
670,2,17,6,0.96875
671,2,17,7,1
672,2,17,8,1
673,2,18,1,0.96875
674,2,18,2,0.90625
675,2,18,3,1
676,2,21,1,0.8125
677,2,21,2,0.8125
678,2,21,3,1
679,2,21,4,0.9375
680,2,21,5,0.96875
681,2,21,6,1
682,2,23,1,0.65625
683,2,23,2,0.53125
684,2,23,3,0.6875
685,2,23,4,0.71875
686,2,23,5,0.71875
687,2,23,6,0.71875
688,2,23,7,0.84375
689,2,23,8,0.84375
690,2,23,9,0.875
691,2,23,10,0.90625
692,2,23,11,0.90625
693,2,23,12,0.9375
694,2,23,13,0.9375
695,2,23,14,0.96875
696,2,23,15,1
697,2,24,1,0.71875
698,2,24,2,0.90625
699,2,24,3,0.71875
700,2,24,4,0.875
701,2,24,5,0.96875
702,2,25,1,0.65625
703,2,25,2,0.625
704,2,25,3,0.65625
705,2,25,4,0.59375
706,2,25,5,0.65625
707,2,25,6,0.75
708,2,25,7,0.875
709,2,25,8,0.8125
710,2,25,9,0.9375
711,2,25,10,0.90625
712,2,25,11,0.96875
713,2,25,12,1
714,2,26,1,0.78125
715,2,26,2,0.78125
716,2,26,3,0.75
717,2,26,4,0.9375
718,2,26,5,0.96875
719,2,26,6,0.9375
720,2,26,7,0.96875
721,2,26,8,0.96875
722,2,26,9,1
723,2,26,10,1
724,2,28,1,0.65625
725,2,28,2,0.59375
726,2,28,3,0.59375
727,2,28,4,0.6875
728,2,28,5,0.65625
729,2,28,6,0.75
730,2,28,7,0.71875
731,2,28,8,0.875
732,2,28,9,0.96875
733,2,28,10,0.96875
734,2,28,11,0.96875
735,2,28,12,0.96875
736,2,28,13,0.96875
737,2,28,14,1
738,2,30,1,0.28125
739,2,30,2,0.25
740,2,30,3,0.34375
741,2,30,4,0.28125
742,2,30,5,0.25
743,2,30,6,0.25
744,2,30,7,0.34375
745,2,30,8,0.5
746,2,30,9,0.46875
747,2,30,10,0.46875
748,2,30,11,0.4375
749,2,30,12,0.53125
750,2,30,13,0.53125
751,2,30,14,0.65625
752,2,30,15,0.59375
753,2,30,16,0.78125
754,2,30,17,0.78125
755,2,30,18,0.8125
756,2,30,19,0.75
757,2,30,20,0.84375
758,2,30,21,0.90625
759,2,30,22,0.875
760,2,30,23,0.96875
761,2,30,24,0.9375
762,2,30,1,0.75
763,2,30,2,0.78125
764,2,30,3,0.75
765,2,30,4,0.8125
766,2,30,5,0.84375
767,2,30,6,0.96875
768,2,30,7,1
769,2,30,8,1
770,3,1,1,0.75
771,3,1,2,0.625
772,3,1,3,0.78125
773,3,1,4,0.75
774,3,1,5,0.75
775,3,1,6,0.78125
776,3,1,7,0.84375
777,3,1,8,0.8125
778,3,1,9,0.8125
779,3,1,10,0.84375
780,3,1,11,0.84375
781,3,1,12,0.875
782,3,1,13,0.875
783,3,1,14,0.9375
784,3,1,15,0.90625
785,3,1,16,0.96875
786,3,1,17,0.96875
787,3,1,18,0.96875
788,3,1,19,0.9375
789,3,1,20,0.96875
790,3,1,21,0.96875
791,3,1,22,0.96875
792,3,1,23,0.96875
793,3,1,24,1
794,3,1,25,1
795,3,1,26,1
796,3,1,27,1
797,3,1,28,1
798,3,1,29,1
799,3,3,1,0.9375
800,3,3,2,0.9375
801,3,3,3,0.90625
802,3,3,4,1
803,3,4,1,0.875
804,3,4,2,0.84375
805,3,4,3,0.84375
806,3,4,4,0.84375
807,3,4,5,0.9375
808,3,4,6,0.96875
809,3,4,7,0.96875
810,3,4,8,0.96875
811,3,4,9,0.96875
812,3,4,10,0.96875
813,3,4,11,1
814,3,4,12,1
815,3,7,1,0.84375
816,3,7,2,0.9375
817,3,7,3,0.84375
818,3,7,4,0.96875
819,3,7,5,0.96875
820,3,7,6,0.96875
821,3,7,7,1
822,3,7,8,1
823,3,23,1,0.71875
824,3,23,2,0.96875
825,3,23,3,0.875
826,3,23,4,0.875
827,3,23,5,0.9375
828,3,23,6,0.96875
829,3,23,7,0.90625
830,3,23,8,0.96875
831,3,23,9,1
832,3,25,1,0.71875
833,3,25,2,0.71875
834,3,25,3,0.53125
835,3,25,4,0.6875
836,3,25,5,0.84375
837,3,25,6,0.84375
838,3,25,7,0.875
839,3,25,8,0.9375
840,3,26,1,0.90625
841,3,26,2,0.96875
842,3,26,3,0.9375
843,3,26,4,0.9375
844,3,26,5,1
845,3,28,1,0.5625
846,3,28,2,0.5
847,3,28,3,0.53125
848,3,28,4,0.6875
849,3,28,5,0.75
850,3,28,6,0.75
851,3,28,7,0.90625
852,3,28,8,0.84375
853,3,28,9,0.875
854,3,28,10,0.96875
855,3,28,11,1
856,3,30,1,0.5
857,3,30,2,0.46875
858,3,30,3,0.625
859,3,30,4,0.5625
860,3,30,5,0.65625
861,3,30,6,0.71875
862,3,30,7,0.78125
863,3,30,8,0.78125
864,3,30,9,0.90625
865,3,30,10,0.9375
866,3,30,11,0.96875
867,3,30,12,1
